"BehaviorSpace results (NetLogo 6.0.1)"
"Malaria-Spread-Model.nlogo"
"Med-Human-Init-Pop-Low-Mos-InitPop"
"12/10/2019 10:50:59:053 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8"
"high-resistance-multiplier","0.008",,,,"0.008",,,,"0.008",,,,"0.008",,,,"0.008",,,,"0.008",,,,"0.008",,,,"0.008",,,
"low-resistance-multiplier","0.002",,,,"0.002",,,,"0.002",,,,"0.002",,,,"0.002",,,,"0.002",,,,"0.002",,,,"0.002",,,
"human-capacity","192",,,,"192",,,,"192",,,,"192",,,,"192",,,,"192",,,,"192",,,,"192",,,
"min-symptoms-days","20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,
"max-symptoms-days","22",,,,"22",,,,"22",,,,"22",,,,"22",,,,"22",,,,"22",,,,"22",,,
"hospital-visit-chance","91",,,,"91",,,,"91",,,,"91",,,,"91",,,,"91",,,,"91",,,,"91",,,
"inital-mosquitoes-infected","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"replacement-drug-days","2000",,,,"2000",,,,"2000",,,,"2000",,,,"2000",,,,"2000",,,,"2000",,,,"2000",,,
"malaria-generation-length","400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,
"recovery-chance","92",,,,"92",,,,"92",,,,"92",,,,"92",,,,"92",,,,"92",,,,"92",,,
"duration","160",,,,"160",,,,"160",,,,"160",,,,"160",,,,"160",,,,"160",,,,"160",,,
"mosquito-min-age","10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,
"mosquitoes-capacity","24",,,,"24",,,,"24",,,,"24",,,,"24",,,,"24",,,,"24",,,,"24",,,
"inital-humans-infected","30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,
"human-max-age","22265",,,,"22265",,,,"22265",,,,"22265",,,,"22265",,,,"22265",,,,"22265",,,,"22265",,,
"human-min-age","10000",,,,"10000",,,,"10000",,,,"10000",,,,"10000",,,,"10000",,,,"10000",,,,"10000",,,
"mosquito-max-age","25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,
"[reporter]","count turtles","count humans","count mosquitoes","infected-mosquitoes-count","count turtles","count humans","count mosquitoes","infected-mosquitoes-count","count turtles","count humans","count mosquitoes","infected-mosquitoes-count","count turtles","count humans","count mosquitoes","infected-mosquitoes-count","count turtles","count humans","count mosquitoes","infected-mosquitoes-count","count turtles","count humans","count mosquitoes","infected-mosquitoes-count","count turtles","count humans","count mosquitoes","infected-mosquitoes-count","count turtles","count humans","count mosquitoes","infected-mosquitoes-count"
